,precision,recall,f1_score,auc_roc,latency_ms,Latency Status
XGBoost,0.1641,0.6363,0.2609,0.7062,0.0018,✓ PASS
LSTM,0.1346,0.7847,0.2297,0.6682,0.4494,✓ PASS
